,宣传平台,活动分类,组织名称,联系方式,活动类型,具体活动,活动链接,针对用户群体,活动时间,活动频率,活动场地,活动价格,活动收藏量,浏览量
0,活动行-生活,文艺,,,,【深圳丨6.12周六下午】cp11.0线上互选配对，我们来谈场7天的恋爱吧,https://www.huodongxing.com/event/1600563314600?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e5%88%97%e5%9b%be%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月12日14:30,,广东深圳报名成功后请联系组织者微信，统一发活动通知,,,385
1,活动行-生活,文艺,,,#手冲咖啡#社交活动#桌游社交,深圳福田社交活动｜手冲咖啡体验课（边喝+边玩认识新朋友）,https://www.huodongxing.com/event/6600434554612?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e5%88%97%e5%9b%be%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月21日08:00,,广东深圳福田区福华路350号岗厦皇庭大厦L1层十日谈(皇庭中心店),,,102
2,活动行-生活,文艺,,,#拉斐尔#展览#艺术,拉斐尔与古典准则：意大利圣路加国家美术学院珍品大展,https://www.huodongxing.com/event/6594919265100?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月29日10:00,,广东深圳南山区南山大道2093号南山博物馆,,,599
3,活动行-生活,文艺,,,#艺术#插画,《点石斋画报》 光绪石印原版作品展,https://www.huodongxing.com/event/3595670924800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月12日10:30,,广东深圳南山区南头街道南头城社区中山南街71号阿哩哩艺术馆阿哩哩艺术馆,,,553
4,活动行-生活,文艺,,,,徐冰 地书实验室,https://www.huodongxing.com/event/7592797646000?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月01日10:00,,广东深圳福田区滨河大道与11号路交汇处中洲湾C Future City西塔写字楼四楼中洲未来实验室C Future Lab,,,671
5,活动行-生活,文艺,,,#时尚#设计#艺术,年度大展 | 400件中英国宝集结《源于自然的时尚》,https://www.huodongxing.com/event/9590340478712?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月25日11:00,,广东深圳南山区望海路1187号(招商局广场对面)海上世界文化艺术中心,,,1073
6,活动行-生活,文艺,,,#成人钢琴#钢琴#音乐,"#成人钢琴#零基础体验课,30分钟学会一首钢琴曲（宝体） 多场次可选",https://www.huodongxing.com/event/9598576885512?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月20日14:00,,广东深圳福中福幸福海岸11栋B座12A凡其乐·成人钢琴唱歌吉他尤克里里,,,268
7,活动行-生活,文艺,,,#新媒体#赛博朋克#艺术,沸腾·新媒体 想象后人类,https://www.huodongxing.com/event/5592343856200?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日11:00,,广东深圳南山区华侨城创意园F106空体,,,630
8,活动行-生活,文艺,,,#群展#艺术,宏藝空間展览｜生活的旮旯 The Corner in Life,https://www.huodongxing.com/event/1597271410600?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月22日10:00,,广东深圳深南大道1003号 GREAT ART SPACE 宏艺空间,,,302
9,活动行-生活,文艺,,,#艺术展览#打卡拍照#原创作品,FREE计划丨自然生长——王海迪水印木刻作品展,https://www.huodongxing.com/event/9597234823200?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月10日11:00,,广东深圳福田区八卦三路523栋2楼白境艺术空间(八卦岭店),,,153
