,平台,区域,场地名称,场地主人,联系方式,场地活动类型,场地价格,场地大小,推荐人数,场地位置,服务设施,浏览量,咨询量,场地链接
0,活动行-活动场地,福田区,通天地智能产品孵化基地,TTD智能产品孵化基地,17724***544,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"1500元/半天 起
路演厅：1500/半天，3000/整天",160 平米起,100 人,电子科技大厦C座13楼,投影设备 银幕 音响 麦克风 WIFI 停车场 黑白板 舞台灯 讲台 桌椅 电视 LED屏,703,1,http://venue.huodongxing.com/venue/detail/250849999627
1,活动行-活动场地,福田区,深圳CBD中心高档写字楼华融大厦25楼,李杰,18617***775,商务活动 分享会/沙龙 发布会 课程 会议/论坛 路演 亲子 读书会 其他,"300元/天 起
我们欢迎活动方与我们进行场地合作，优质的活动我们可以免费提供场地。V ：18617353775",80 平米起,60 人,福田区民田路178号华融大厦2510,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 桌椅 电视,733,6,http://venue.huodongxing.com/venue/detail/170858110727
2,活动行-活动场地,福田区,任太生活馆,周彩连,19926***992,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 展览 路演 轰趴 亲子 读书会 年会,"350元/时 起
按不同活动和不同的需求给出价格。",160 平米起,100 人,新安二路140号,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 桌椅,294,4,http://venue.huodongxing.com/venue/detail/910945082170
3,活动行-活动场地,福田区,深圳场地招募,百宝箱,13260***239,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会,1元/天 起,0 平米起,1 人,线上活动,投影设备 银幕 音响 WIFI 餐饮 舞台 桌椅 LED屏,267,0,http://venue.huodongxing.com/venue/detail/110866758566
4,活动行-活动场地,福田区,QSPACE轻空间,李女士,13751***351,聚会 商务活动 分享会/沙龙 发布会 课程 会议/论坛 路演 读书会,"150元/小时 起
提供10-70人的会议、活动、分享场地。 6-8人会议室 150元/小时 10-25人会议室 300元/小时 20-60人 包场以进行分享、活动，请联系我们面议。",800 平米起,30 人,福华三路财富大厦,投影设备 银幕 音响 麦克风 WIFI 茶歇 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,787,10,http://venue.huodongxing.com/venue/detail/870851927079
5,活动行-活动场地,福田区,Bee+财富大厦空间,陈嘉怡,15818***960,商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 路演 年会,450元/时 起,400 平米起,120 人,深圳市福田区福华三路88号财富大厦1-3层Beeplus,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,688,2,http://venue.huodongxing.com/venue/detail/620846115541
6,活动行-活动场地,福田区,科技寺空间（福田店）,杨雯婷,13530***139,商务活动 分享会/沙龙 发布会 课程 会议/论坛 路演,300元/小时 起,70 平米起,80 人,福田区福强路3030号中国（深圳）新媒体广告产业园22楼科技寺,投影设备 音响 麦克风 WIFI 桌椅 电视,219,2,http://venue.huodongxing.com/venue/detail/260837954605
7,活动行-活动场地,福田区,Together荟舍咖啡,李盛时,13428***911,聚会 DIY 体验 分享会/沙龙 课程 轰趴,"100元/小时 起
咖啡馆,Space,书吧,沙龙,课程",200 平米起,50 人,深圳市福田区福强路4001号深圳文化创意园H馆1楼,投影设备 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 桌椅,930,5,http://venue.huodongxing.com/venue/detail/270804649703
8,活动行-活动场地,福田区,一陶二木艺术传播有限公司,向老师,18925***975,聚会 团建 DIY 体验 分享会/沙龙 轰趴,798元/3H 起,1500 平米起,100 人,深圳市福田区彩田路2048号福建大厦A座四楼,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅,470,5,http://venue.huodongxing.com/venue/detail/590800547465
9,活动行-活动场地,福田区,ATLASCoffee&Deli寰图咖啡食堂,李靖元,13760***983,聚会 团建 分享会/沙龙 轰趴 年会,500元/小时 起,220 平米起,80 人,广东省深圳市福田区福华三路100号鼎和大厦3楼寰图咖啡食堂,投影设备 音响 麦克风 WIFI 茶歇 餐饮 桌椅,282,0,http://venue.huodongxing.com/venue/detail/490794554783
